iso,elapsed_s,cycle,phase,motion_active,loop_cycles_ok,loop_no_reading,loop_overrun,loop_estops,loop_fallback,loop_last_dt_ms,loop_cmds,loop_ok_rate,loop_noread_rate,tac_frames_ok,tac_frame_rate,tac_bad,tac_last_err,tacfz_thumb,tacfz_index,tacfz_middle,tacfz_ring,tacfz_pinky,temp_wrist,temp_index_pip,temp_index_mcp,temp_index_abd,temp_middle_abd,temp_ring_abd,temp_ring_mcp,temp_ring_pip,temp_middle_pip,temp_middle_mcp,temp_pinky_pip,temp_pinky_mcp,temp_pinky_abd,temp_thumb_abd,temp_thumb_mcp,temp_thumb_dip,temp_thumb_cmc,cur_wrist,cur_index_pip,cur_index_mcp,cur_index_abd,cur_middle_abd,cur_ring_abd,cur_ring_mcp,cur_ring_pip,cur_middle_pip,cur_middle_mcp,cur_pinky_pip,cur_pinky_mcp,cur_pinky_abd,cur_thumb_abd,cur_thumb_mcp,cur_thumb_dip,cur_thumb_cmc,motor_read_fails,cmd_fails,anomalies
2026-07-03 19:21:46,22.62,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_ring_abd;mot_frozen_ring_pip;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,22.67,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_ring_abd;mot_frozen_ring_pip;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,22.72,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,
2026-07-03 19:21:47,22.99,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.03,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.08,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.13,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.18,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.22,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.26,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.31,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.36,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.41,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.46,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.51,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.55,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:47,23.6,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:48,23.65,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:48,23.69,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:48,23.74,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,
2026-07-03 19:21:48,24.01,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:48,24.06,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:48,24.11,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:48,24.16,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:48,24.21,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:48,24.26,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:48,24.3,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:48,24.34,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:48,24.39,3,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:49,24.74,3,open,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,
2026-07-03 19:21:49,25.01,3,open,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:49,25.06,3,open,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:49,25.1,3,open,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
2026-07-03 19:21:49,25.14,3,open,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,47.0,43.0,46.0,47.0,42.0,43.0,46.0,48.0,45.0,46.0,51.0,47.0,42.0,42.0,52.0,55.0,55.0,0.0,-10.72,-10.72,284.08,402.0,-416.74,44.22,420.76,-426.12,-49.58,37.52,-179.56,104.52,20.1,478.38,-483.74,37.52,0,0,mot_frozen_index_abd;mot_frozen_index_mcp;mot_frozen_index_pip;mot_frozen_middle_abd;mot_frozen_middle_mcp;mot_frozen_middle_pip;mot_frozen_pinky_abd;mot_frozen_pinky_mcp;mot_frozen_ring_abd;mot_frozen_ring_mcp;mot_frozen_ring_pip;mot_frozen_thumb_abd;mot_frozen_thumb_cmc;mot_frozen_thumb_dip;mot_frozen_thumb_mcp
